adult,backdrop_path,belongs_to_collection,budget,genres,homepage,id,imdb_id,original_language,original_title,overview,popularity,poster_path,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,status,tagline,title,video,vote_average,vote_count
False,/mDfJG3LC3Dqb67AZ52x3Z0jU0uB.jpg,"{'id': 86311, 'name': 'The Avengers Collection', 'poster_path': '/yFSIUVTCvgYrpalUktulvk3Gi5Y.jpg', 'backdrop_path': '/zuW6fOiusv4X9nnW3paHGfXcSll.jpg'}",300000000,"[{'id': 12, 'name': 'Adventure'}, {'id': 28, 'name': 'Action'}, {'id': 878, 'name': 'Science Fiction'}]",https://www.marvel.com/movies/avengers-infinity-war,299536,tt4154756,en,Avengers: Infinity War,"As the Avengers and their allies have continued to protect the world from threats too large for any one hero to handle, a new danger has emerged from the cosmic shadows: Thanos. A despot of intergalactic infamy, his goal is to collect all six Infinity Stones, artifacts of unimaginable power, and use them to inflict his twisted will on all of reality. Everything the Avengers have fought for has led up to this moment - the fate of Earth and existence itself has never been more uncertain.",222.867,/7WsyChQLEftFiDOVTGkv3hFpyyt.jpg,"[{'id': 420, 'logo_path': '/hUzeosd33nzE5MCNsZxCGEKTXaQ.png', 'name': 'Marvel Studios', 'origin_country': 'US'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2018-04-25,2046239637,149,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}, {'english_name': 'Xhosa', 'iso_639_1': 'xh', 'name': ''}]",Released,An entire universe. Once and for all.,Avengers: Infinity War,False,8.262,26859
False,/8N91uYwrr1uepEKbmym1tgfXlzS.jpg,,0,"[{'id': 16, 'name': 'Animation'}, {'id': 10751, 'name': 'Family'}, {'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 878, 'name': 'Science Fiction'}]",,14613,tt1259998,en,Next Avengers: Heroes of Tomorrow,The children of the Avengers hone their powers and go head to head with the very enemy responsible for their parents' demise.,18.253,/fpG1NDbcLV2a7c8X7LC4FPISBT7.jpg,"[{'id': 13252, 'logo_path': '/1gKwYyTDNhumwBKUlKqoxXRUdpC.png', 'name': 'Marvel Animation', 'origin_country': 'US'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2008-09-02,3800000,78,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,The children of heroes past are our only hope for the future!,Next Avengers: Heroes of Tomorrow,False,6.858,225
False,/9BBTo63ANSmhC4e6r62OJFuK2GL.jpg,"{'id': 86311, 'name': 'The Avengers Collection', 'poster_path': '/yFSIUVTCvgYrpalUktulvk3Gi5Y.jpg', 'backdrop_path': '/zuW6fOiusv4X9nnW3paHGfXcSll.jpg'}",220000000,"[{'id': 878, 'name': 'Science Fiction'}, {'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}]",https://www.marvel.com/movies/the-avengers,24428,tt0848228,en,The Avengers,"When an unexpected enemy emerges and threatens global safety and security, Nick Fury, director of the international peacekeeping agency known as S.H.I.E.L.D., finds himself in need of a team to pull the world back from the brink of disaster. Spanning the globe, a daring recruitment effort begins!",112.261,/RYMX2wcKCBAr24UyPD7xwmjaTn.jpg,"[{'id': 420, 'logo_path': '/hUzeosd33nzE5MCNsZxCGEKTXaQ.png', 'name': 'Marvel Studios', 'origin_country': 'US'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2012-04-25,1518815515,143,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}, {'english_name': 'Hindi', 'iso_639_1': 'hi', 'name': 'हिन्दी'}, {'english_name': 'Russian', 'iso_639_1': 'ru', 'name': 'Pусский'}]",Released,Some assembly required.,The Avengers,False,7.708,28570
False,/1r42uwYTbX7aOWxtS1qPCAdOBQJ.jpg,,0,"[{'id': 16, 'name': 'Animation'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 28, 'name': 'Action'}]",http://www.sonypictures.com/movies/avengersconfidentialblackwidowpunisher/,257346,tt3482378,ja,アベンジャーズ コンフィデンシャル：ブラック・ウィドウ ＆ パニッシャー,"When the Punisher takes out a black-market weapons dealer, he stumbles upon a far-reaching terrorist plot devised by a group known as Leviathan.",25.875,/hRBXP91ATK5j1u0ibvrQLbxQr8c.jpg,"[{'id': 82346, 'logo_path': '/jqgK6CSkPrEsIv6Nk390JaBcXYF.png', 'name': 'Sony Pictures', 'origin_country': 'JP'}, {'id': 3464, 'logo_path': '/9k0nr75nwnNeT2MHerf1OXJN0hj.png', 'name': 'Madhouse', 'origin_country': 'JP'}]","[{'iso_3166_1': 'JP', 'name': 'Japan'}]",2014-04-19,0,83,"[{'english_name': 'Japanese', 'iso_639_1': 'ja', 'name': '日本語'}]",Released,,Avengers Confidential: Black Widow & Punisher,False,6.296,208
False,/6YwkGolwdOMNpbTOmLjoehlVWs5.jpg,"{'id': 86311, 'name': 'The Avengers Collection', 'poster_path': '/yFSIUVTCvgYrpalUktulvk3Gi5Y.jpg', 'backdrop_path': '/zuW6fOiusv4X9nnW3paHGfXcSll.jpg'}",365000000,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 878, 'name': 'Science Fiction'}]",http://marvel.com/movies/movie/193/avengers_age_of_ultron,99861,tt2395427,en,Avengers: Age of Ultron,"When Tony Stark tries to jumpstart a dormant peacekeeping program, things go awry and Earth’s Mightiest Heroes are put to the ultimate test as the fate of the planet hangs in the balance. As the villainous Ultron emerges, it is up to The Avengers to stop him from enacting his terrible plans, and soon uneasy alliances and unexpected action pave the way for an epic and unique global adventure.",86.86,/4ssDuvEDkSArWEdyBl2X5EHvYKU.jpg,"[{'id': 420, 'logo_path': '/hUzeosd33nzE5MCNsZxCGEKTXaQ.png', 'name': 'Marvel Studios', 'origin_country': 'US'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2015-04-22,1405403694,141,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,A New Age Has Come.,Avengers: Age of Ultron,False,7.281,21270
False,/7RyHsO4yDXtBv1zUU3mTpHeQ0d5.jpg,"{'id': 86311, 'name': 'The Avengers Collection', 'poster_path': '/yFSIUVTCvgYrpalUktulvk3Gi5Y.jpg', 'backdrop_path': '/zuW6fOiusv4X9nnW3paHGfXcSll.jpg'}",356000000,"[{'id': 12, 'name': 'Adventure'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 28, 'name': 'Action'}]",https://www.marvel.com/movies/avengers-endgame,299534,tt4154796,en,Avengers: Endgame,"After the devastating events of Avengers: Infinity War, the universe is in ruins due to the efforts of the Mad Titan, Thanos. With the help of remaining allies, the Avengers must assemble once more in order to undo Thanos' actions and restore order to the universe once and for all, no matter what consequences may be in store.",110.826,/or06FN3Dka5tukK1e9sl16pB3iy.jpg,"[{'id': 420, 'logo_path': '/hUzeosd33nzE5MCNsZxCGEKTXaQ.png', 'name': 'Marvel Studios', 'origin_country': 'US'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2019-04-24,2794731755,181,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}, {'english_name': 'Japanese', 'iso_639_1': 'ja', 'name': '日本語'}, {'english_name': 'Xhosa', 'iso_639_1': 'xh', 'name': ''}]",Released,Avenge the fallen.,Avengers: Endgame,False,8.267,23132
False,/jqFC2WjYF07hx2X7cs0XmY9jBX6.jpg,,0,"[{'id': 28, 'name': 'Action'}, {'id': 878, 'name': 'Science Fiction'}]",https://www.marvel.com/movies/avengers-secret-wars,1003598,tt21361444,en,Avengers: Secret Wars,An upcoming film in the Marvel Cinematic Universe's sixth Phase and the finale of The Multiverse Saga. Plot unknown.,26.578,/8chwENebfUEJzZ7sMUA0nOgiCKk.jpg,"[{'id': 420, 'logo_path': '/hUzeosd33nzE5MCNsZxCGEKTXaQ.png', 'name': 'Marvel Studios', 'origin_country': 'US'}, {'id': 176762, 'logo_path': None, 'name': 'Kevin Feige Productions', 'origin_country': 'US'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2026-04-29,0,0,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Planned,,Avengers: Secret Wars,False,0.0,0
False,/uR952NrgispGuyqIdUbkR24vE0u.jpg,,0,"[{'id': 28, 'name': 'Action'}, {'id': 878, 'name': 'Science Fiction'}]",https://www.marvel.com/movies/avengers-kang-dynasty,1003596,tt21357150,en,Avengers: The Kang Dynasty,An upcoming film in the Marvel Cinematic Universe's sixth Phase and part of The Multiverse Saga. Plot unknown.,27.488,/utZTb3VBrH0zR77BcISU67pHuAx.jpg,"[{'id': 420, 'logo_path': '/hUzeosd33nzE5MCNsZxCGEKTXaQ.png', 'name': 'Marvel Studios', 'origin_country': 'US'}, {'id': 176762, 'logo_path': None, 'name': 'Kevin Feige Productions', 'origin_country': 'US'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2025-05-01,0,0,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Planned,,Avengers: The Kang Dynasty,False,0.0,0
False,/sAdsCbxOX9IktcYvLZPQ916zhpv.jpg,"{'id': 752937, 'name': 'LEGO Marvel Super Heroes Collection', 'poster_path': '/fRIBCOHPhXraUOlv9wTjSaLSr8x.jpg', 'backdrop_path': '/FQETJbf4a1btUAW1qlYRvu8Tho.jpg'}",0,[],,1060704,tt13783758,en,Lego Marvel Avengers: Die Klima-Krise,The Environmental Clean-up Conference is off to anything but a smooth start when Tony Stark realizes his fellow competitor is his rival Justin Hammer!,2.655,/8bgBLCGN9yKrjgBB3swREiERZYC.jpg,[],[],2020-11-01,0,0,[],Released,,Lego Marvel Avengers: Climate Conundrum,True,6.5,20
False,/aGbSI1hldkcFAB7lAVlpUqFcvRK.jpg,,0,"[{'id': 28, 'name': 'Action'}, {'id': 18, 'name': 'Drama'}]",,40081,tt0077292,zh,残缺,"A group of martial artists seek revenge after being crippled by Tu Tin-To, a martial arts master, and his son.",4.489,/eKdvNCKtiuUFvwCXtpwISw8jqZ5.jpg,"[{'id': 5798, 'logo_path': '/tmuI9BGXgpWLmokhlxpnG3IGNQB.png', 'name': 'Shaw Brothers', 'origin_country': 'HK'}]","[{'iso_3166_1': 'HK', 'name': 'Hong Kong'}]",1978-12-21,0,106,"[{'english_name': 'Mandarin', 'iso_639_1': 'zh', 'name': '普通话'}]",Released,Where the better man stays alive!,Crippled Avengers,False,6.6,58
False,/qzzAt0GakCZzbCeCJ0sFGhMIcdv.jpg,"{'id': 522577, 'name': 'Avengers Grimm Collection', 'poster_path': '/oqEp8zCTK7mTKeeEHCTCkT3pMLx.jpg', 'backdrop_path': '/tp0buiNBb6iFjlr34lCB9ardTEA.jpg'}",0,"[{'id': 28, 'name': 'Action'}, {'id': 14, 'name': 'Fantasy'}]",,323660,tt4296026,en,Avengers Grimm,"When Rumpelstiltskin destroys the Magic Mirror and escapes to the modern world, the four princesses of ""Once Upon a Time""-Cinderella, Sleeping Beauty, Snow White, and Rapunzel-are sucked through the portal too. Well-trained and endowed with magical powers, the four women must fight Rumpelstiltskin and his army of thralls before he enslaves everyone on Earth.",17.862,/1SbBKCbnULACOqWKN7eLfTu1gVm.jpg,"[{'id': 1311, 'logo_path': '/ic2bTizdzRLDVzAvN7MXdUg3WQV.png', 'name': 'The Asylum', 'origin_country': 'US'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2015-03-17,0,90,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,A battle of legendary proportions.,Avengers Grimm,False,3.977,108
False,/fryen9fnjlm0YibKTDNGzWNBOSo.jpg,,60000000,"[{'id': 53, 'name': 'Thriller'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}]",,9320,tt0118661,en,The Avengers,"British Ministry agent John Steed, under direction from ""Mother"", investigates a diabolical plot by arch-villain Sir August de Wynter to rule the world with his weather control machine. Steed investigates the beautiful Doctor Mrs. Emma Peel, the only suspect, but simultaneously falls for her and joins forces with her to combat Sir August.",15.328,/1p5thyQ4pCy876HpdvFARqJ62N9.jpg,"[{'id': 2596, 'logo_path': None, 'name': 'Jerry Weintraub Productions', 'origin_country': 'US'}, {'id': 174, 'logo_path': '/IuAlhI9eVC9Z8UQWOIDdWRKSEJ.png', 'name': 'Warner Bros. Pictures', 'origin_country': 'US'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1998-08-13,48585416,89,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,Saving the World in Style.,The Avengers,False,4.369,618
False,/9tjIgkkbajG2zMI4Yk21hpttXv0.jpg,"{'id': 286904, 'name': 'Ultimate Avengers Collection', 'poster_path': '/bOXJmKCHKtqJILiJ5womPDigEoc.jpg', 'backdrop_path': '/9DA9dxRE0fRlpl4amBmLCjQdZay.jpg'}",0,"[{'id': 28, 'name': 'Action'}, {'id': 16, 'name': 'Animation'}, {'id': 10751, 'name': 'Family'}, {'id': 12, 'name': 'Adventure'}, {'id': 878, 'name': 'Science Fiction'}]",,14609,tt0491703,en,Ultimate Avengers: The Movie,"When a nuclear missile was fired at Washington in 1945, Captain America managed to detonate it in the upper atmosphere. But then he fell miles into the icy depths of the North Atlantic, where he remained lost for over sixty years. But now, with the world facing the very same evil, Captain America must rise again as our last hope for survival.",14.482,/fKQqZEDmvKMCXEQztvMJHGou9dO.jpg,"[{'id': 13252, 'logo_path': '/1gKwYyTDNhumwBKUlKqoxXRUdpC.png', 'name': 'Marvel Animation', 'origin_country': 'US'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2006-02-21,6700000,72,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,"Saving the world, one enemy at a time.",Ultimate Avengers: The Movie,False,6.753,299
False,/n2yv4KNOIeneb6zVzjbT9iLvnPE.jpg,,0,"[{'id': 28, 'name': 'Action'}, {'id': 18, 'name': 'Drama'}]",,63441,tt0082153,zh,叉手,"Philip Kwok plays a repentant killer who vows to destroy the masked gang of which he was a member. A young fighter and his martial arts brothers come to the town to catch the killers, but one of them is not to be trusted!",2.913,/vr54E7RjvMLE4rFgb1NPgZdnpj6.jpg,"[{'id': 5798, 'logo_path': '/tmuI9BGXgpWLmokhlxpnG3IGNQB.png', 'name': 'Shaw Brothers', 'origin_country': 'HK'}]","[{'iso_3166_1': 'HK', 'name': 'Hong Kong'}]",1981-05-15,0,92,"[{'english_name': 'Mandarin', 'iso_639_1': 'zh', 'name': '普通话'}]",Released,Hidden Death! Unmasked Terror! In a New Kung Fu Style.,Masked Avengers,False,6.2,16
False,/ldxi7dKtud2KrStUr8V9P65ixNr.jpg,"{'id': 286904, 'name': 'Ultimate Avengers Collection', 'poster_path': '/bOXJmKCHKtqJILiJ5womPDigEoc.jpg', 'backdrop_path': '/9DA9dxRE0fRlpl4amBmLCjQdZay.jpg'}",0,"[{'id': 12, 'name': 'Adventure'}, {'id': 16, 'name': 'Animation'}, {'id': 28, 'name': 'Action'}, {'id': 878, 'name': 'Science Fiction'}]",,14611,tt0803093,en,Ultimate Avengers 2: Rise of the Panther,"Mysterious Wakanda lies in the darkest heart of Africa, unknown to most of the world. An isolated land hidden behind closed borders, fiercely protected by its young king: Black Panther. But when brutal alien invaders attack, the threat leaves Black Panther with no option but to go against the sacred decrees of his people and ask for help from outsiders.",13.837,/h1PKqtjuTifmTU0EqM4W0Br2pHX.jpg,"[{'id': 101439, 'logo_path': None, 'name': 'MLG Productions 2', 'origin_country': ''}, {'id': 19551, 'logo_path': '/2WpWp9b108hizjHKdA107hFmvQ5.png', 'name': 'Marvel Enterprises', 'origin_country': 'US'}, {'id': 1632, 'logo_path': '/cisLn1YAUuptXVBa0xjq7ST9cH0.png', 'name': 'Lionsgate', 'origin_country': 'US'}, {'id': 13252, 'logo_path': '/1gKwYyTDNhumwBKUlKqoxXRUdpC.png', 'name': 'Marvel Animation', 'origin_country': 'US'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2006-08-08,0,73,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,"To save humanity, the Earth's mightiest heroes must reunite for a rematch of heroic proportions.",Ultimate Avengers 2: Rise of the Panther,False,6.7,246
False,,,0,[],,1051387,tt21192014,en,Avengers: Quantum Encounter,,7.735,/bjVPUVREsbDYJsQwZMAE68yHUoY.jpg,[],[],2022-07-14,0,0,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,,Avengers: Quantum Encounter,False,3.5,2
False,/sORO7a1cSghfWE5GD4cSJ0qTN8O.jpg,"{'id': 522577, 'name': 'Avengers Grimm Collection', 'poster_path': '/oqEp8zCTK7mTKeeEHCTCkT3pMLx.jpg', 'backdrop_path': '/tp0buiNBb6iFjlr34lCB9ardTEA.jpg'}",0,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 14, 'name': 'Fantasy'}]",,521720,tt8159584,en,Avengers Grimm: Time Wars,"When Rumpelstiltskin tries to take over Earth once and for all, The Avengers Grimm must track him down through time in order to defeat him.",16.317,/xfAcu74DRQXeM9XqFcE5MrSRzYP.jpg,"[{'id': 10571, 'logo_path': None, 'name': 'Asylum Films', 'origin_country': ''}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2018-05-01,0,88,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,The original wonder women!,Avengers Grimm: Time Wars,False,4.8,51
False,/bXkZI1GTPdI1huSjH7853GrKkeY.jpg,"{'id': 120417, 'name': 'The Elusive Revengers Collection', 'poster_path': '/27oNrZFN7D9ZvV0TqwYhXb9eLEQ.jpg', 'backdrop_path': '/tv80YrpX7mO9Ja9gGCMLWOXOfaj.jpg'}",0,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 10751, 'name': 'Family'}]",,65591,tt0063369,ru,Новые приключения неуловимых,"The action takes place in 1920 during the Civil War.  Crimea on the eve of complete liberation from the White Guards. Returning from patrol, the four brave “elusive” knocked down an airplane. In the field bag of the captured pilot, they find a secret report, which speaks of the existence of defensive fortifications around the coastal city, which the Reds have yet to take. Young heroes get the task to get a map of fortifications and go to the city...",3.172,/pulCmFhk5GkeoV9a6nVg46lo1a3.jpg,"[{'id': 344, 'logo_path': '/xenuUvcunUNpbaDOYGhWZERaym7.png', 'name': 'Mosfilm', 'origin_country': 'SU'}]","[{'iso_3166_1': 'SU', 'name': 'Soviet Union'}]",1968-11-04,0,82,"[{'english_name': 'Russian', 'iso_639_1': 'ru', 'name': 'Pусский'}]",Released,,The New Adventures of the Elusive Avengers,False,7.3,28
False,/rGGRv7XXpDBVGD2BtbKWENfZOkf.jpg,"{'id': 752937, 'name': 'LEGO Marvel Super Heroes Collection', 'poster_path': '/fRIBCOHPhXraUOlv9wTjSaLSr8x.jpg', 'backdrop_path': '/FQETJbf4a1btUAW1qlYRvu8Tho.jpg'}",0,"[{'id': 10751, 'name': 'Family'}, {'id': 16, 'name': 'Animation'}]",,368304,tt5371572,en,LEGO Marvel Super Heroes: Avengers Reassembled!,The Avengers are forced to “party” with Ultron when he seeks to disassemble the team by taking control of Iron Man’s armor and enact a nefarious scheme to take over the world.,12.543,/xUBZNoY7idPfqKZepnDEv7Qc8GC.jpg,"[{'id': 10280, 'logo_path': None, 'name': 'Arc Productions', 'origin_country': ''}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2015-11-16,0,22,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,,LEGO Marvel Super Heroes: Avengers Reassembled!,False,6.561,114
False,/rDsT0UnHiA3HGJvb0TacQbdsdfv.jpg,"{'id': 945744, 'name': 'Shaolin Temple Collection', 'poster_path': '/k7XZy2KYq5l4I5qEmWk6DVhpHEy.jpg', 'backdrop_path': None}",0,"[{'id': 28, 'name': 'Action'}]",,109088,tt0074513,zh,方世玉與胡惠乾,"Heroism and romance combine in an action-packed martial arts story. When the Shaolin are betrayed by White-Browed Hermit, hotheaded warrior-hero Fong Sai Yuk vows revenge.",3.689,/yXl2BPZHsmhuUgl8hUic430UsNd.jpg,"[{'id': 5798, 'logo_path': '/tmuI9BGXgpWLmokhlxpnG3IGNQB.png', 'name': 'Shaw Brothers', 'origin_country': 'HK'}, {'id': 8326, 'logo_path': None, 'name': ""Chang's Film Company"", 'origin_country': 'HK'}]","[{'iso_3166_1': 'HK', 'name': 'Hong Kong'}, {'iso_3166_1': 'TW', 'name': 'Taiwan'}]",1976-06-18,0,97,"[{'english_name': 'Mandarin', 'iso_639_1': 'zh', 'name': '普通话'}, {'english_name': 'German', 'iso_639_1': 'de', 'name': 'Deutsch'}]",Released,Four hands are better than two.,The Shaolin Avengers,False,6.0,12
